Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_COLLECTION_COLLECTS_PERSONAL_DATA,,true,REQUIRED,Ứng dụng của bạn có thu thập hoặc chia sẻ loại dữ liệu người dùng cần thiết nào không?
PSL_DATA_COLLECTION_ENCRYPTED_IN_TRANSIT,,false,MAYBE_REQUIRED,Toàn bộ dữ liệu người dùng mà ứng dụng của bạn thu thập có được mã hóa trong quá trình chuyển dữ liệu không?
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD,,MULTIPLE_CHOICE,Ứng dụng của bạn hỗ trợ phương thức tạo tài khoản nào sau đây? Hãy chọn mọi phương án phù hợp / Tên người dùng và mật khẩu
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_OTHER_AUTH,,MULTIPLE_CHOICE,Ứng dụng của bạn hỗ trợ phương thức tạo tài khoản nào sau đây? Hãy chọn mọi phương án phù hợp / Tên người dùng và phương thức xác thực khác
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_USER_ID_PASSWORD_OTHER_AUTH,,MULTIPLE_CHOICE,"Ứng dụng của bạn hỗ trợ phương thức tạo tài khoản nào sau đây? Hãy chọn mọi phương án phù hợp / Tên người dùng, mật khẩu và phương thức xác thực khác"
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OAUTH,,MULTIPLE_CHOICE,Ứng dụng của bạn hỗ trợ phương thức tạo tài khoản nào sau đây? Hãy chọn mọi phương án phù hợp / OAuth
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_OTHER,,MULTIPLE_CHOICE,Ứng dụng của bạn hỗ trợ phương thức tạo tài khoản nào sau đây? Hãy chọn mọi phương án phù hợp / Khác
PSL_SUPPORTED_ACCOUNT_CREATION_METHODS,PSL_ACM_NONE,,MULTIPLE_CHOICE,Ứng dụng của bạn hỗ trợ phương thức tạo tài khoản nào sau đây? Hãy chọn mọi phương án phù hợp / Ứng dụng của tôi không cho phép người dùng tạo tài khoản
PSL_ACM_SPECIFY,,,MAYBE_REQUIRED,Mô tả phương thức tạo tài khoản mà ứng dụng của bạn hỗ trợ
PSL_ACCOUNT_DELETION_URL,,,MAYBE_REQUIRED,Thêm đường liên kết mà người dùng có thể sử dụng để yêu cầu xoá tài khoản và dữ liệu liên quan của họ 
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_YES,,SINGLE_CHOICE,Ứng dụng của bạn có đưa ra cách nào để người dùng yêu cầu xóa dữ liệu của họ không? / Có
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_NO,,SINGLE_CHOICE,Ứng dụng của bạn có đưa ra cách nào để người dùng yêu cầu xóa dữ liệu của họ không? / Không
PSL_SUPPORT_DATA_DELETION_BY_USER,DATA_DELETION_NO_AUTO_DELETED,,SINGLE_CHOICE,"Ứng dụng của bạn có đưa ra cách nào để người dùng yêu cầu xóa dữ liệu của họ không? / Không, nhưng dữ liệu người dùng sẽ tự động bị xoá trong vòng 90 ngày"
PSL_DATA_DELETION_URL,,,MAYBE_REQUIRED,URL xoá dữ liệu
PSL_DATA_COLLECTION_COMPLIES_FAMILY_POLICY,,,OPTIONAL,"Chỉ trả lời câu hỏi này nếu bạn đã cho biết rằng nhóm tuổi mà ứng dụng của bạn hướng đến có cả trẻ em hoặc nếu bạn đã chọn tham gia chương trình Thiết kế cho Gia đình. Nếu thuộc bất kỳ trường hợp nào ở trên, bạn bắt buộc phải tuân thủ Chính sách của Google Play về gia đình (https://support.google.com/googleplay/android-developer/answer/9893335). Bạn có muốn cho người dùng biết về cam kết này qua mục An toàn dữ liệu trên trang thông tin của bạn trên Cửa hàng Play không?"
PSL_INDEPENDENTLY_VALIDATED,,,OPTIONAL,"Ứng dụng của bạn đã hoàn thành một quy trình đánh giá bảo mật độc lập theo khung Đánh giá bảo mật ứng dụng di động (MASA) hay chưa? Chỉ trả lời ""có"" nếu kết quả đánh giá cho thấy trạng thái tốt."
PSL_UPI_BADGE_OPT_IN,,,OPTIONAL,Bạn có muốn huy hiệu này hiển thị trên trang thông tin của mình trên Cửa hàng Play không?
PSL_HAS_OUTSIDE_APP_ACCOUNTS,,,OPTIONAL,Người dùng có thể đăng nhập vào ứng dụng của bạn bằng tài khoản được tạo bên ngoài ứng dụng đó không?
